Item #,Reference,Qty,Manufacturer,MPN,Description / Value,DNP,Footprint,Type,Price,Total Price,Part Page
1,"C1,C4,C5,C8,C9",5,KEMET,C0603C104M5RACTU,CAP CER 0.1UF 50V X7R 0603,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,SMD,$0.32,$1.60,https://www.digikey.com/en/products/detail/kemet/C0603C104M5RACTU/3471568?gclsrc=aw.ds&gad_source=1&gad_campaignid=20837516636&gbraid=0AAAAADrbLliOvMu6AC4TY6vYOf9OgQDai&gclid=CjwKCAjwz5nGBhBBEiwA-W6XRNkKZGhzx10KnkmYbDWek8M6-JkPaF5NYZU7W0zHQ9dvqX-F1CHo2RoCNK8QAvD_BwE
2,C2,1,KEMET,EEV107M035S9GAA,CAP ALUM 100UF 20% 35V SMD,,Capacitor_SMD:CP_Elec_6.3x5.4,SMD,$0.63,$0.63,https://www.digikey.com/en/products/detail/kemet/EEV107M035S9HAA/12709016?gclsrc=aw.ds&gad_source=1&gad_campaignid=20837516636&gbraid=0AAAAADrbLliOvMu6AC4TY6vYOf9OgQDai&gclid=CjwKCAjwz5nGBhBBEiwA-W6XRCtP6LNYGJtnV_YaBDonTNZwhIXlfJcNUkOJVt2leGpNoML6tr8CIhoCkLEQAvD_BwE
3,C3,1,KEMET,A768EB476M1VLAE042,CAP ALUM POLY 47UF 20% 35V SMD,,Capacitor_SMD:CP_Elec_6.3x5.7,SMD,$0.52,$0.52,https://www.digikey.com/en/products/detail/kemet/A768EB476M1VLAE042/13420038
4,C6,1,Nichicon,RSS1E100MCN1GS,CAP ALUM POLY 10UF 20% 25V SMD,,Capacitor_SMD:CP_Elec_6.3x5.7,SMD,$1.52,$1.52,https://www.digikey.com/en/products/detail/nichicon/RSS1E100MCN1GS/3465978?s=N4IgTCBcDaIEoGUEEYCiyAMGCyBhAcsgOIIgC6AvkA
5,"J1,J2",2,Adam Tech,PH2-20-UA,CONN HEADER VERT 20POS 2.54MM,,Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical,Through Hole,$0.23,$0.46,https://www.digikey.com/en/products/detail/adam-tech/PH2-20-UA/9830418?gclsrc=aw.ds&gad_source=1&gad_campaignid=21016330783&gbraid=0AAAAADrbLlhy6pugX31A9BDvS9YLDyVty&gclid=CjwKCAjwlaTGBhANEiwAoRgXBZcKmf6HCpsueWdaV0uL5YVs_NxiZ6WlQ1wwJntGwpl6mmfxJ-WHsRoCu6gQAvD_BwE
6,"J3,J5",1,Adam Tech,PH1-06-UA,CONN HEADER VERT 6POS 2.54MM,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,Through Hole,$0.10,$0.10,https://www.digikey.com/en/products/detail/adam-tech/PH1-06-UA/9830394?gclsrc=aw.ds&gad_source=1&gad_campaignid=20470400566&gbraid=0AAAAADrbLlj3BQuQu5AwbzJ3c5bjnupTW&gclid=CjwKCAjwlaTGBhANEiwAoRgXBSaUVmK3mmCngBkrPFvw83VxsDn1617MNJvF86WeT8Vl-3lIjc0B7BoCN0sQAvD_BwE
7,J4,1,Adam Tech,PH1-08-UA,CONN HEADER VERT 8POS 2.54MM,DNP,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,Through Hole,$0.10,$0.10,https://www.digikey.com/en/products/detail/adam-tech/PH1-08-UA/9830442?gclsrc=aw.ds&gad_source=1&gad_campaignid=21016330783&gbraid=0AAAAADrbLlhy6pugX31A9BDvS9YLDyVty&gclid=CjwKCAjwlaTGBhANEiwAoRgXBRpE-Mx3bpbpfPND19WIv8aoTEvYbq6r567k36F_RN_dtE7OxIx_ehoCoIgQAvD_BwE
9,J9,1,Adam Tech,PH1-02-UA,CONN HEADER VERT 2POS 2.54MM,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Through Hole,$0.10,$0.10,https://www.digikey.com/en/products/detail/adam-tech/PH1-02-UA/9830266?gclsrc=aw.ds&gad_source=1&gad_campaignid=21016330783&gbraid=0AAAAADrbLlhy6pugX31A9BDvS9YLDyVty&gclid=CjwKCAjwlaTGBhANEiwAoRgXBX6U-zVcndCTihajLX9ncwX2l8XQyjAREhvVokSk7m-zEhjM6edocRoCKksQAvD_BwE
10,"SW1,SW2,SW3,SW4",4,C&K,JS102011SAQN,SWITCH SLIDE SPDT 300MA 6V,,Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN,SMD,$0.76,$3.04,https://www.digikey.com/en/products/detail/c-k/JS102011SAQN/1640095?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLljIF7AjlIQvWLh8TLINkYEzP&gclid=CjwKCAjwz5nGBhBBEiwA-W6XRNDTbqezfv4QXzCP4k0dGz1Wmdr6AbyqszD0tRzjcqnyNAVyWDUYVhoCys8QAvD_BwE
11,SW5,1,Nidec Components Corporation,CHS-01A,SWITCH SLIDE DIP SPST 0.1A 6V,,Button_Switch_SMD:SW_DIP_SPSTx01_Slide_Copal_CHS-01A_W5.08mm_P1.27mm_JPin,SMD,$1.34,$1.34,https://www.digikey.com/en/products/detail/nidec-components-corporation/CHS-01A/6821986?gclsrc=aw.ds&gad_source=1&gad_campaignid=120565755&gbraid=0AAAAADrbLljIF7AjlIQvWLh8TLINkYEzP&gclid=CjwKCAjwz5nGBhBBEiwA-W6XRFoeWyY8VJl-SHtIBV8TW8Jo9H_Z5ZmruVrnOckxFFdwHj9KWh5fYBoCUk8QAvD_BwE
,,,,,,,,,,total,
,,,,,,,,,,$9.41,